Floating holiday for Hatkeshvar Jayanti on Friday, 11-Apr-2025 in Bengaluru
Floating holiday for Mahatma Jyotiba Phule Jayanti on Friday, 11-Apr-2025 in Bengaluru
Floating holiday for Pesah (1st Day)(Yahudi) on Saturday, 12-Apr-2025 in Bengaluru
Floating holiday for Hanuman Jayanti on Saturday, 12-Apr-2025 in Bengaluru
Floating holiday for Vaisakhi on Sunday, 13-Apr-2025 in Bengaluru
Floating holiday for Baisakhi on Sunday, 13-Apr-2025 in Bengaluru
Floating holiday for Chhath Puja on Sunday, 13-Apr-2025 in Bengaluru
Floating holiday for Vaisakhi on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Dr. B.R. Ambedkar Jayanthi on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Dr. Baba Saheb Ambedkar's Birthday on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Souramana Ugadi on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Tamil New Year's Day on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Maha Vishuva Sankranti on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Dr. Ambedkar Jayanti on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Dr. B.R. Ambedkar's Birthday on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Vishu on Monday, 14-Apr-2025 in Bengaluru
Floating holiday for Bengali New Year's Day (Nababarsha) on Tuesday, 15-Apr-2025 in Bengaluru
Floating holiday for Chandrashekhar Jayanti on Thursday, 17-Apr-2025 in Bengaluru
Floating holiday for Maundy Thursday on Thursday, 17-Apr-2025 in Bengaluru
Floating holiday for Good Friday on Friday, 18-Apr-2025 in Bengaluru
Floating holiday for Holy Saturday on Saturday, 19-Apr-2025 in Bengaluru
Floating holiday for Easter Saturday on Saturday, 19-Apr-2025 in Bengaluru
Floating holiday for Easter Day on Saturday, 19-Apr-2025 in Bengaluru
Floating holiday for Easter on Sunday, 20-Apr-2025 in Bengaluru
Floating holiday for Easter Monday on Monday, 21-Apr-2025 in Bengaluru
Floating holiday for Zarthost-No-Disho (Parsi Kadami) on Tuesday, 22-Apr-2025 in Bengaluru
Floating holiday for Maha Prabhuji's Praktyotsava (Vallabhacharya Jayanit) on Thursday, 24-Apr-2025 in Bengaluru
Floating holiday for Sain Jayanti on Friday, 25-Apr-2025 in Bengaluru
Floating holiday for Bhagwan Shree Parshuram Jayanti (Vaishakh Sud-2) on Tuesday, 29-Apr-2025 in Bengaluru
Floating holiday for Parshuram Jayanti on Tuesday, 29-Apr-2025 in Bengaluru
Floating holiday for Akshaya Tritiya on Wednesday, 30-Apr-2025 in Bengaluru
Floating holiday for Basava Jayanthi on Wednesday, 30-Apr-2025 in Bengaluru
Floating holiday for Parshuram Jayanti on Wednesday, 30-Apr-2025 in Bengaluru
Mandatory holiday for May Day on Thursday, 1-May-2025 in Bengaluru
Mandatory holiday for Maharashtra Din on Thursday, 1-May-2025 in Bengaluru
Floating holiday for Shree Adhya Jagadguru Shankaracharya Jayanti (Vaishakh Sud-5) on Friday, 2-May-2025 in Bengaluru
Floating holiday for Sri Shankarayacharya Jayanthi on Friday, 2-May-2025 in Bengaluru
Floating holiday for Sri Ramanujacharya Jayanthi on Friday, 2-May-2025 in Bengaluru
Floating holiday for Birthday of Rabindranath Tagore on Friday, 2-May-2025 in Bengaluru
Floating holiday for Loknayak Maharana Pratap Jayanti on Friday, 2-May-2025 in Bengaluru
Floating holiday for Darshanik Diwas on Friday, 2-May-2025 in Bengaluru
Floating holiday for Ekatma Diwas on Friday, 2-May-2025 in Bengaluru
Floating holiday for Shri Chitragupt ji ka prakat utsav on Sunday, 4-May-2025 in Bengaluru
Floating holiday for Birthday of Pt. Raghunath Murmu on Monday, 12-May-2025 in Bengaluru
Floating holiday for Buddha Purnima (Vaishakh Sud-15) on Monday, 12-May-2025 in Bengaluru
Floating holiday for Buddha Purnima on Monday, 12-May-2025 in Bengaluru
Floating holiday for Kewat Jayanti on Thursday, 15-May-2025 in Bengaluru
Floating holiday for Birthday of Raja Ram Mohan Roy on Thursday, 22-May-2025 in Bengaluru
Floating holiday for Zarthost-No-Disho (Parsi Shahenshahi) on Thursday, 22-May-2025 in Bengaluru
Floating holiday for Maharshi Kayshap Jayanti on Saturday, 24-May-2025 in Bengaluru
Floating holiday for Sabitri Amabasya on Tuesday, 27-May-2025 in Bengaluru
Floating holiday for Maharana Pratap Jayanti on Thursday, 29-May-2025 in Bengaluru
Floating holiday for chhatrasal jayanti on Thursday, 29-May-2025 in Bengaluru
Floating holiday for Martyrdom day of Sri Guru Arjan Dev Ji on Friday, 30-May-2025 in Bengaluru
Floating holiday for Guru Arjan Dev's Martyrdom Day on Friday, 30-May-2025 in Bengaluru
Floating holiday for Mata Ahilya's Birthday on Saturday, 31-May-2025 in Bengaluru
Floating holiday for Telangana State Formation day on Monday, 2-Jun-2025 in Bengaluru
Floating holiday for Shavuoth (Yahudi) on Monday, 2-Jun-2025 in Bengaluru
Floating holiday for Mahesh Jayanti on Wednesday, 4-Jun-2025 in Bengaluru
Floating holiday for Id-ul-Ad’ha (Bakrid)* on Friday, 6-Jun-2025 in Bengaluru
Floating holiday for Day before Eid-UI-Zuha (Bakrid) on Friday, 6-Jun-2025 in Bengaluru
Floating holiday for Bakrid (Idul Azha) on Saturday, 7-Jun-2025 in Bengaluru
Floating holiday for Pahili Raja on Saturday, 7-Jun-2025 in Bengaluru
Floating holiday for Id-Ul-Zuha (Bakrid) on Saturday, 7-Jun-2025 in Bengaluru
Floating holiday for Eid-Ul-Zuha on Saturday, 7-Jun-2025 in Bengaluru
Floating holiday for Eid-Ul-Adha (Bakri-Eid) on Saturday, 7-Jun-2025 in Bengaluru
Floating holiday for Eid-Ul-Zuha (Bakrid) on Saturday, 7-Jun-2025 in Bengaluru
Floating holiday for Bakrid on Saturday, 7-Jun-2025 in Bengaluru
Floating holiday for Id-Ul-Zuha (Bakrid) on Sunday, 8-Jun-2025 in Bengaluru
Floating holiday for Bada Mahadev Pujan on Monday, 9-Jun-2025 in Bengaluru
Floating holiday for Sant Kabir Jayanti on Wednesday, 11-Jun-2025 in Bengaluru
Floating holiday for Kabir Jayanti on Wednesday, 11-Jun-2025 in Bengaluru
Floating holiday for Gadeer-E-Khum on Saturday, 14-Jun-2025 in Bengaluru
Floating holiday for EID_E Ghadeer on Sunday, 15-Jun-2025 in Bengaluru
Floating holiday for Raja Sankranti on Sunday, 15-Jun-2025 in Bengaluru
Floating holiday for Veerangana Durgavati ka Balidan Diwas on Tuesday, 24-Jun-2025 in Bengaluru
Floating holiday for Rathayatra (Ashadhi Bij) (Ashadh Sud -2) on Friday, 27-Jun-2025 in Bengaluru
Floating holiday for Ratha Yathra on Friday, 27-Jun-2025 in Bengaluru
Floating holiday for Hul Diwas on Monday, 30-Jun-2025 in Bengaluru
